panel,endpoint,runs,accuracy_mean,accuracy_min,accuracy_max,balanced_accuracy_mean,f1_macro_mean,nll_mean,ece_mean
primary_five_fold,class_prior,5,0.19433863840517535,0.19358074222668,0.1947791164658634,0.0909090909090909,0.02958479209406828,2.272879821099264,0.00066076466492678
primary_five_fold,direct_xgb,5,0.2009677627259287,0.1805416248746238,0.2208835341365461,0.12991253525016427,0.12376588305831404,2.2579991817474365,0.09167076428874979
primary_five_fold,cascade_xgb_tabnet,5,0.12246599235457371,0.1134538152610441,0.1375502008032128,0.09326533181881277,0.04233377487465692,2.3892536640167235,0.02738308397289758
seed_sensitivity,class_prior,3,0.19431453664876822,0.19358074222668,0.1947791164658634,0.0909090909090909,0.0295817220102299,2.2735100301939735,0.0006015897465844
seed_sensitivity,direct_xgb,3,0.2090357417634429,0.1795386158475426,0.2259036144578313,0.13641360993560206,0.13045503192709823,2.2645114262898765,0.08772387657004016
seed_sensitivity,cascade_xgb_tabnet,3,0.11738562407436497,0.0952858575727181,0.156469408224674,0.09691795192786357,0.03567393601663316,2.3913841247558594,0.023650013860362334
