analysis,feature,baseline_score,permuted_score_mean,importance_mean,importance_std,repeats
direct_context_xgb_macro_f1,high_blood_pressure,0.28648835300601294,0.19741525875196597,0.08907309425404697,0.00551205177159698,10
direct_context_xgb_macro_f1,hiv_aids,0.28648835300601294,0.230462291167454,0.05602606183855893,0.006390740784164723,10
direct_context_xgb_macro_f1,nasal_polyps,0.28648835300601294,0.23593212508255562,0.05055622792345732,0.0021122189608393633,10
direct_context_xgb_macro_f1,thi,0.28648835300601294,0.27098987248934575,0.01549848051666719,0.006830931316056585,10
direct_context_xgb_macro_f1,Temperature (C),0.28648835300601294,0.2714908375764623,0.014997515429550634,0.006378791475621678,10
direct_context_xgb_macro_f1,Wind Speed (km/h),0.28648835300601294,0.2715871295048626,0.014901223501150362,0.0065749469643082235,10
direct_context_xgb_macro_f1,Age,0.28648835300601294,0.2727791025866146,0.013709250419398356,0.007973728063468294,10
direct_context_xgb_macro_f1,humidex,0.28648835300601294,0.27518129039901884,0.0113070626069941,0.0072060201722813485,10
direct_context_xgb_macro_f1,apparent_temperature,0.28648835300601294,0.277883375450419,0.008604977555593918,0.0060267751145125495,10
direct_context_xgb_macro_f1,Humidity,0.28648835300601294,0.279925002854703,0.006563350151309932,0.00738476405299508,10
direct_context_xgb_macro_f1,heat_index,0.28648835300601294,0.2802143398959627,0.006274013110050214,0.006104661373393016,10
direct_context_xgb_macro_f1,Gender,0.28648835300601294,0.2839472874411171,0.0025410655648958613,0.004053457368095916,10
direct_context_xgb_macro_f1,diabetes,0.28648835300601294,0.286488353006013,-5.551115123125783e-17,5.851389114294502e-17,10
direct_context_xgb_macro_f1,high_cholesterol,0.28648835300601294,0.286488353006013,-5.551115123125783e-17,5.851389114294502e-17,10
direct_context_xgb_macro_f1,asthma_history,0.28648835300601294,0.286488353006013,-5.551115123125783e-17,5.851389114294502e-17,10
direct_context_xgb_macro_f1,obesity,0.28648835300601294,0.286488353006013,-5.551115123125783e-17,5.851389114294502e-17,10
stage1_context_xgb_micro_ap,high_blood_pressure,0.3881976390855376,0.20527950303598477,0.18291813604955284,0.009611037208877056,5
stage1_context_xgb_micro_ap,hiv_aids,0.3881976390855376,0.22991140402112817,0.15828623506440945,0.0052234503678434815,5
stage1_context_xgb_micro_ap,nasal_polyps,0.3881976390855376,0.36918536430514637,0.019012274780391247,0.001852101422243364,5
stage1_context_xgb_micro_ap,Age,0.3881976390855376,0.37914683933182725,0.00905079975371037,0.001871139527932501,5
stage1_context_xgb_micro_ap,thi,0.3881976390855376,0.38495335190818103,0.0032442871773565862,0.0014883217962358647,5
stage1_context_xgb_micro_ap,humidex,0.3881976390855376,0.38520455071537024,0.002993088370167374,0.0007756937827348642,5
stage1_context_xgb_micro_ap,Temperature (C),0.3881976390855376,0.38546555579363456,0.0027320832919030535,0.001675310892744384,5
stage1_context_xgb_micro_ap,Wind Speed (km/h),0.3881976390855376,0.3865501056072456,0.001647533478291996,0.0014481391907509617,5
stage1_context_xgb_micro_ap,diabetes,0.3881976390855376,0.3881976390855376,0.0,0.0,5
stage1_context_xgb_micro_ap,high_cholesterol,0.3881976390855376,0.3881976390855376,0.0,0.0,5
stage1_context_xgb_micro_ap,asthma_history,0.3881976390855376,0.3881976390855376,0.0,0.0,5
stage1_context_xgb_micro_ap,obesity,0.3881976390855376,0.3881976390855376,0.0,0.0,5
stage1_context_xgb_micro_ap,Humidity,0.3881976390855376,0.38841558628302153,-0.00021794719748391422,0.002219248911567139,5
stage1_context_xgb_micro_ap,heat_index,0.3881976390855376,0.38932233487923334,-0.0011246957936957291,0.000329809064824557,5
stage1_context_xgb_micro_ap,Gender,0.3881976390855376,0.38965485807083766,-0.0014572189853000461,0.0006524171968231056,5
stage1_context_xgb_micro_ap,apparent_temperature,0.3881976390855376,0.38972131613972205,-0.0015236770541844358,0.0009733118053375337,5
oracle_tabnet_mask,nausea,,,0.03261703395155284,,5
oracle_tabnet_mask,joint_pain,,,0.03806269976289119,,5
oracle_tabnet_mask,abdominal_pain,,,0.004238651898098669,,5
oracle_tabnet_mask,high_fever,,,0.04933905336325019,,5
oracle_tabnet_mask,chills,,,0.021382496699296896,,5
oracle_tabnet_mask,fatigue,,,0.026341112431489556,,5
oracle_tabnet_mask,runny_nose,,,0.024769577427842346,,5
oracle_tabnet_mask,dizziness,,,0.02415704242891415,,5
oracle_tabnet_mask,headache,,,0.05453917167916398,,5
oracle_tabnet_mask,chest_pain,,,0.05267030239326427,,5
oracle_tabnet_mask,vomiting,,,0.04818265876082901,,5
oracle_tabnet_mask,cough,,,0.024464180881171665,,5
oracle_tabnet_mask,asthma,,,0.015227584069829533,,5
oracle_tabnet_mask,severe_headache,,,0.04704711791680894,,5
oracle_tabnet_mask,weakness,,,0.007623759996585898,,5
oracle_tabnet_mask,trouble_seeing,,,0.025616850242877204,,5
oracle_tabnet_mask,fever,,,0.010703161078339189,,5
oracle_tabnet_mask,body_aches,,,0.014630957332311009,,5
oracle_tabnet_mask,sore_throat,,,0.03687413240625444,,5
oracle_tabnet_mask,sneezing,,,0.020286950367673633,,5
oracle_tabnet_mask,diarrhea,,,0.043451415336191526,,5
oracle_tabnet_mask,rapid_breathing,,,0.010083896246578718,,5
oracle_tabnet_mask,rapid_heart_rate,,,0.04659167563753832,,5
oracle_tabnet_mask,pain_behind_eyes,,,0.04885920572500269,,5
oracle_tabnet_mask,swollen_glands,,,0.020803534227336787,,5
oracle_tabnet_mask,rashes,,,0.033126515195091785,,5
oracle_tabnet_mask,sinus_headache,,,0.031277744642984516,,5
oracle_tabnet_mask,facial_pain,,,0.04335241765719463,,5
oracle_tabnet_mask,shortness_of_breath,,,0.011413147248534272,,5
oracle_tabnet_mask,reduced_smell_and_taste,,,0.028923496801949805,,5
oracle_tabnet_mask,skin_irritation,,,0.017147939419910392,,5
oracle_tabnet_mask,itchiness,,,0.010547155106747278,,5
oracle_tabnet_mask,throbbing_headache,,,0.016005542232743076,,5
oracle_tabnet_mask,confusion,,,0.032753767212116015,,5
oracle_tabnet_mask,back_pain,,,0.014539380668845645,,5
oracle_tabnet_mask,knee_ache,,,0.012348671552789939,,5
context_probability_tabnet_mask,nausea,,,0.0463803318891902,,5
context_probability_tabnet_mask,joint_pain,,,0.02367465054268175,,5
context_probability_tabnet_mask,abdominal_pain,,,0.013872439670209524,,5
context_probability_tabnet_mask,high_fever,,,0.025566602930243522,,5
context_probability_tabnet_mask,chills,,,0.014228209585493024,,5
context_probability_tabnet_mask,fatigue,,,0.0110378002710347,,5
context_probability_tabnet_mask,runny_nose,,,0.0467439580288489,,5
context_probability_tabnet_mask,dizziness,,,0.027634753626464365,,5
context_probability_tabnet_mask,headache,,,0.02050294646796328,,5
context_probability_tabnet_mask,chest_pain,,,0.025310538933676224,,5
context_probability_tabnet_mask,vomiting,,,0.028501619140178173,,5
context_probability_tabnet_mask,cough,,,0.04564416827788252,,5
context_probability_tabnet_mask,asthma,,,0.03436992487315912,,5
context_probability_tabnet_mask,severe_headache,,,0.035733692955192686,,5
context_probability_tabnet_mask,weakness,,,0.03130044599673929,,5
context_probability_tabnet_mask,trouble_seeing,,,0.02106720041509972,,5
context_probability_tabnet_mask,fever,,,0.032954819475487965,,5
context_probability_tabnet_mask,body_aches,,,0.05211188052713565,,5
context_probability_tabnet_mask,sore_throat,,,0.01842181126798717,,5
context_probability_tabnet_mask,sneezing,,,0.010054239284686276,,5
context_probability_tabnet_mask,diarrhea,,,0.02487382055225511,,5
context_probability_tabnet_mask,rapid_breathing,,,0.01002098706451993,,5
context_probability_tabnet_mask,rapid_heart_rate,,,0.03998105605875608,,5
context_probability_tabnet_mask,pain_behind_eyes,,,0.03372045552010379,,5
context_probability_tabnet_mask,swollen_glands,,,0.012645373837314514,,5
context_probability_tabnet_mask,rashes,,,0.031960547186237795,,5
context_probability_tabnet_mask,sinus_headache,,,0.02014223126691448,,5
context_probability_tabnet_mask,facial_pain,,,0.04661613868324575,,5
context_probability_tabnet_mask,shortness_of_breath,,,0.0750029108431946,,5
context_probability_tabnet_mask,reduced_smell_and_taste,,,0.037266269524293384,,5
